UUID,Title,Image,Synopsis,Author,Duration,Guidance,Quote,Cited,Supplemental,Video
0D5EE00E-7BC1-4F3E-A983-5C49AE00001E,Clampett City,Clampett-City.jpg,The Western set on the backlot of their movie studio provides the Clampetts with a taste of home.,Paul Henning & Mark Tuttle,21:05,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
071998C1-B74E-4BD4-B9EF-DAE14496BC1C,Clampett City General Store,Clampett-City-General-Store.jpg,"As the Clampetts open the ""general store"" on their Western set to customers, Jethro, Elly May, and Granny are cast in a picture about Nero and Cleopatra.",Paul Henning & Mark Tuttle,21:17,PG,,,Chaplin tries to impress Jed and his clan by showing him a new picture and putting Elly in movies. She doesn’t do well and scares Sir Trevor out.,https://www.youtube.com/watch?v=XQu8TTBmGhA
F4024AF4-B09B-4D93-B380-C87ACA70E804,Hedda Hopper's Hollywood,Hedda-Hopper-Hollywood.jpg,"Famed Hollywood gossip columnist Hedda Hopper urges Jed not to allow the historic movie studio to be torn down, but changes her mind when she sees the film the Clampetts have made there.",Paul Henning & Mark Tuttle,21:23,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
47571D9B-255D-4922-9E5F-37461FDECA42,Doctor Jed Clampett,Doctor-Jed-Clampett.jpg,"Jed receives an honorary doctorate, but the family thinks he now has the power to heal.",Paul Henning & Mark Tuttle,21:12,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
44EFD134-57A3-42C4-AC52-D02A56CB4604,Jed the Heartbreaker,Jed-the-Heartbreaker.jpg,"Mrs. Drysdale decides to use her womanly charms on Jed, in an effort to scare the Clampetts back to the hills.",Paul Henning & Mark Tuttle,21:23,PG,,,"Drysdale has hopes that Jed will buy a yacht and join the yacht club with him. The Clampetts are all ready to go, except for Granny who has been listening to Jethro and is now afraid of drowning and sharks.",https://www.youtube.com/watch?v=XQu8TTBmGhA
ED11A703-4DD9-4369-A588-5816A1230E8A,Back to Marineland,Back-to-Marineland.jpg,"After being turned down in his aspiration to be a ""double naught spy"", Jethro decides to join the Marines by getting a job at Marineland.",Paul Henning & Mark Tuttle,20:56,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
D3183667-1EF9-4A6A-88A8-1216C373A33F,Teenage Idol,Teenage-Idol.jpg,"Teen singing sensation Johnny Poke, a friend from back in the hills, visits the Clampetts. Alan Reed guest stars.",Paul Henning & Mark Tuttle,21:11,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
2587DD89-D9B7-4583-AA0F-81A2596A3AF8,Admiral Jed Clampett,Admiral-Jed-Clampett.jpg,Granny's fear of sharks makes her reluctant to go yachting with the rest of the family. (This is the first episode filmed and aired in color).,Paul Henning & Mark Tuttle,21:12,PG,"""Tell her that even if the shark does get her, it's quicker than drownin'.""-",Jethro,,https://www.youtube.com/watch?v=XQu8TTBmGhA
54031E7B-A0BA-40C3-B8AF-FFB623BF3BAA,That Old Black Magic,That-Old-Black-Magic.jpg,Granny thinks her study of astrology has turned Mrs. Drysdale into a bird.,Ronny Pearlman,21:16,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
05C01A60-E4FF-4878-966B-936540FA919D,The Sheik,The-Sheik.jpg,"Jethro appreciates Arabic culture when Jed's new oil partner, a sheikh, arrives with his harem.",Paul Henning & Mark Tuttle,21:16,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
4A8C5414-5C21-4973-ADE8-A657466E6468,The Private Eye,The-Private-Eye.jpg,"Jethro's attempt to become a ""double naught spy"" unwittingly leads him to foil a bank robbery.",Paul Henning & Mark Tuttle,21:16,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
